Value,Type,Year,Field,FieldOrder1,FieldOrder2,Fieldkm,Field2km,Field3km,,,,,Transect distance conversions,,,,,
52.94117647,inc,1,1,1,1,1.364356436,1.861468483,2.539706505,,,,,180,6.89,6.89,180,,1.364356436
20.04801921,inc,1,2,2,4,1.162376238,1.351118518,1.570508059,,,,,,,5.87,153.3526851,,1.162376238
3.841536615,inc,1,3,3,9,1,1,1,,,,,,,5.05,131.9303338,,1
24.24969988,inc,1,4,4,16,0.859405941,0.738578571,0.634738811,,,,,,,4.34,113.3817126,,0.859405941
24.60984394,inc,1,5,5,25,0.706930693,0.499751005,0.353289324,,,,,,,3.57,93.26560232,,0.706930693
93.63745498,inc,1,6,6,36,0.617821782,0.381703755,0.235824894,,,,,,,3.12,81.50943396,,0.617821782
96.63865546,inc,1,7,7,49,0.40990099,0.168018822,0.068871081,,,,,,,2.07,54.07837446,,0.40990099
90.99639856,inc,1,8,8,64,0.215841584,0.046587589,0.010055539,,,,,,,1.09,28.47605225,,0.215841584
87.515006,inc,1,9,9,81,0.071287129,0.005081855,0.000362271,,,,,,,0.36,9.404934688,,0.071287129
98.19927971,inc,1,10,10,100,0,0,0,,,,,,,0,0,,0
1.318681319,adult,1,1,1,1,1.364356436,1.861468483,2.539706505,,,,,,,,,,
0.293040293,adult,1,2,2,4,1.162376238,1.351118518,1.570508059,,,,,,,,,,
0.238095238,adult,1,3,3,9,1,1,1,,,,,,,,,,
0.201465201,adult,1,4,4,16,0.859405941,0.738578571,0.634738811,,,,,,,,note 180km transect distance is quoted in Legg and Ogwal 1998,,
0.641025641,adult,1,5,5,25,0.706930693,0.499751005,0.353289324,,,,,,,,,,
2.161172161,adult,1,6,6,36,0.617821782,0.381703755,0.235824894,,,,,,,,,,
2.06959707,adult,1,7,7,49,0.40990099,0.168018822,0.068871081,,,,,,,,,,
1.886446886,adult,1,8,8,64,0.215841584,0.046587589,0.010055539,,,,,,,,,,
1.208791209,adult,1,9,9,81,0.071287129,0.005081855,0.000362271,,,,,,,,,,
1.684981685,adult,1,10,10,100,0,0,0,,,,,,,,,,
34.09363745,inc,2,1,1,1,1.364356436,1.861468483,2.539706505,,,,,,,,,,
31.33253301,inc,2,2,2,4,1.162376238,1.351118518,1.570508059,,,,,,,,,,
3.121248499,inc,2,3,3,9,1,1,1,,,,,,,,,,
10.68427371,inc,2,4,4,16,0.859405941,0.738578571,0.634738811,,,,,,,,,,
21.96878752,inc,2,5,5,25,0.706930693,0.499751005,0.353289324,,,,,,,,,,
79.23169268,inc,2,6,6,36,0.617821782,0.381703755,0.235824894,,,,,,,,,,
86.91476591,inc,2,7,7,49,0.40990099,0.168018822,0.068871081,,,,,,,,,,
93.03721489,inc,2,8,8,64,0.215841584,0.046587589,0.010055539,,,,,,,,,,
66.2665066,inc,2,9,9,81,0.071287129,0.005081855,0.000362271,,,,,,,,,,
90.15606242,inc,2,10,10,100,0,0,0,,,,,,,,,,
0.805860806,adult,2,1,1,1,1.364356436,1.861468483,2.539706505,,,,,,,,,,
0.402930403,adult,2,2,2,4,1.162376238,1.351118518,1.570508059,,,,,,,,,,
0.274725275,adult,2,3,3,9,1,1,1,,,,,,,,,,
